Datum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-100,100-115
8/18/2020,,,,1,1,,1,,2,2,2,4,6,3,5,3,5,3,1,,
8/19/2020,,,,1,1,,2,,2,2,1,4,6,3,5,4,6,3,1,,
8/20/2020,,,,1,1,,1,,1,2,1,5,7,6,4,4,7,3,1,,
8/21/2020,,,,1,1,,1,,1,1,1,4,7,4,4,4,6,4,1,1,
8/22/2020,,,,1,1,,1,,1,1,1,4,7,4,4,4,6,4,1,1,
8/23/2020,,,,1,1,,1,,1,1,1,4,7,4,4,4,6,4,1,1,
8/24/2020,,,,1,1,,1,,1,1,2,6,8,3,3,4,4,4,,,
8/25/2020,,,,2,1,,1,1,1,1,3,8,9,3,3,4,4,6,,,
8/26/2020,,,,1,1,,3,,3,,3,7,10,5,3,5,4,4,1,,
8/27/2020,,,,1,1,,3,,3,1,2,6,10,5,1,6,3,4,1,,
8/28/2020,,,,,2,,4,2,2,1,2,5,10,5,1,7,4,3,1,,
8/31/2020,1,,,,1,3,5,2,2,3,2,10,10,8,4,11,7,4,2,,
9/1/2020,1,,,,1,3,5,2,2,3,2,10,10,8,4,11,7,4,2,,
9/2/2020,1,,,,1,2,3,2,2,2,4,9,9,9,3,11,6,4,1,,
9/3/2020,1,,,,1,1,2,4,4,1,4,10,10,10,5,11,7,5,1,,
9/4/2020,,,,,,,2,2,4,1,3,8,8,11,6,10,7,7,2,,
9/7/2020,,,,,,,1,1,2,4,5,11,8,17,10,12,9,7,2,,
9/8/2020,,,,,,,1,1,3,3,6,13,10,18,9,13,9,7,2,,
9/9/2020,,,,,,,1,1,3,3,6,11,10,19,8,13,9,7,2,,
9/10/2020,,,,,,,,,3,2,5,10,11,18,9,11,10,8,2,,
9/11/2020,,,,,,,1,,6,2,7,10,13,17,10,12,9,8,2,,
9/14/2020,,,,,,,,,3,2,5,7,9,15,9,14,8,7,3,,
9/16/2020,,,1,1,,,1,1,7,5,7,8,10,14,10,14,10,7,3,,
9/17/2020,,,1,1,,,1,1,6,5,7,7,10,15,10,16,10,7,3,,
9/18/2020,,,1,1,1,1,,1,4,2,5,8,9,11,7,13,7,7,2,,
9/21/2020,,,3,3,3,2,,3,5,3,7,9,13,10,10,16,12,7,3,,
9/22/2020,,,3,2,2,2,,3,5,3,8,9,16,8,13,18,11,5,4,,
9/23/2020,,,3,2,1,2,,3,5,3,8,9,15,10,17,18,12,5,3,,
9/24/2020,,,3,2,1,2,,3,6,3,7,11,17,13,18,18,13,5,4,,
9/25/2020,,,1,,,1,1,2,6,3,8,15,19,14,21,22,13,8,4,,
9/28/2020,1,,,,,1,2,1,7,4,8,17,22,23,30,23,22,12,5,1,
