Row Labels,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-115
3/30/2020,,,,,,,,,,,,1,,,,,,,,
4/4/2020,,,,,,,,,,,1,,,,,,,,,
4/6/2020,,,,,,,,,,,,,1,,,,,,,
4/14/2020,,,,,,,,,,,,,,,,,1,,,
4/15/2020,,,,,,,,,,,,1,1,,,1,,,,
4/16/2020,,,,,,,,,,,,,,,,1,1,,,
4/17/2020,,,,,,,,,,,,,,,,,,1,,
4/18/2020,,,,,,,,,,,,,,,,1,1,,,
4/20/2020,,,,,,,,,,,,,,,,,,,2,
4/22/2020,,,,,,,,,,,,,,,,,,1,,
4/23/2020,,,,,,,,,,,,,,,,1,,,,
4/24/2020,,,,,,,,,,,,,,1,,,,,,
4/25/2020,,,,,,,,,,,,,,2,,,,,,
4/27/2020,,,,,,,,,,,,,,,,,2,,,
4/28/2020,,,,,,,,,,,,,,,,1,,,,
4/29/2020,,,,,,,,,,,,,,,,,1,,,
4/30/2020,,,,,,,,,,,,,,,,,2,,,
5/3/2020,,,,,,,,,,,,,,1,,,,1,,
5/6/2020,,,,,,,,,,,,,,,,,1,,,
5/10/2020,,,,,,,,,,,,,,,,1,,,,
5/13/2020,,,,,,,,,,,,,,,,1,,,,
7/26/2020,,,,,,,,,,,,,1,,,,,,,
8/3/2020,,,,,,,,,,,,,,1,,,,,,
8/6/2020,,,,,,,,,,,,,,,1,,,,,
8/12/2020,,,,,,,,,,,,,,,,1,,,,
8/17/2020,,,,,,,,,,,,,,,1,,,,,
8/22/2020,,,,,,,,,,,,,,,,,1,,,
8/23/2020,,,,,,,,,,,,,,,1,1,,,,
8/30/2020,,,,,,,,,,,,1,,,,,,,,
9/5/2020,,,,,,,,,,,,1,1,,,,,,,
9/7/2020,,,1,,,,,,,,,,,,,,,,,
9/8/2020,,,,,,,,,,,1,,,,,,,,,
9/9/2020,,,,,,,,,,,,,,,1,,,,,
9/12/2020,,,,,,,,,,1,,,,,,,,,,
9/15/2020,,,,,,,,,,,,,1,,1,,,,,
9/17/2020,,,,,,,,,,,,,2,,1,,,,,
9/18/2020,,,,,,,,,,,,,,,1,1,,,,
9/19/2020,,,,,,,,,,,,,,,1,,,,,
9/21/2020,,,,,,,,,,,,,,1,1,1,,,,
9/22/2020,,,,,,,,,,,,,,,,,,1,,
9/23/2020,,,,,,,,,,,,,,2,,,,,,
9/27/2020,,,,,,,,,,,,,,,,,1,,,
9/28/2020,,,,,,,,,,,1,1,,,1,,,,,
9/29/2020,,,,,,,,,,,,1,,,,,,,,
9/30/2020,,,,,,1,,,,,,,,,,,,,,
10/1/2020,,,,,,,,,,,,,,,1,2,,,,
10/2/2020,,,,,,,,,,,1,1,,1,2,1,1,,,
10/3/2020,,,,,,,,,,,,,1,,,1,,,,
