date,astra-1,jnj,moderna-1,pfizer-1,sputnik-1
2020-12-26,0.0,0.0,0.0,68.0,0.0
2020-12-27,0.0,0.0,0.0,162.0,0.0
2020-12-28,0.0,0.0,0.0,697.0,0.0
2020-12-29,0.0,0.0,0.0,724.0,0.0
2020-12-30,0.0,0.0,0.0,1051.0,0.0
2020-12-31,0.0,0.0,0.0,911.0,0.0
2021-01-02,0.0,0.0,0.0,457.0,0.0
2021-01-03,0.0,0.0,0.0,249.0,0.0
2021-01-04,0.0,0.0,0.0,2067.0,0.0
2021-01-05,1.0,0.0,0.0,2781.0,0.0
2021-01-06,0.0,0.0,0.0,1151.0,0.0
2021-01-07,0.0,0.0,0.0,8657.0,0.0
2021-01-08,0.0,0.0,0.0,8533.0,0.0
2021-01-09,0.0,0.0,0.0,1645.0,0.0
2021-01-10,0.0,0.0,0.0,557.0,0.0
2021-01-11,0.0,0.0,0.0,4063.0,0.0
2021-01-12,0.0,0.0,0.0,6780.0,0.0
2021-01-13,0.0,0.0,0.0,7078.0,0.0
2021-01-14,0.0,0.0,0.0,6610.0,0.0
2021-01-15,0.0,0.0,0.0,7432.0,0.0
2021-01-16,1.0,0.0,0.0,1098.0,0.0
2021-01-17,0.0,0.0,0.0,54.0,0.0
2021-01-18,0.0,0.0,0.0,8298.0,0.0
2021-01-19,0.0,0.0,0.0,7314.0,0.0
2021-01-20,0.0,0.0,0.0,6667.0,0.0
2021-01-21,0.0,0.0,0.0,5940.0,1.0
2021-01-22,0.0,0.0,0.0,6347.0,0.0
2021-01-23,0.0,0.0,0.0,276.0,0.0
2021-01-25,0.0,0.0,0.0,6979.0,0.0
2021-01-26,1.0,0.0,0.0,6945.0,0.0
2021-01-27,0.0,0.0,67.0,6610.0,2.0
2021-01-28,0.0,0.0,0.0,8922.0,0.0
2021-01-29,0.0,0.0,0.0,8852.0,0.0
2021-01-30,0.0,0.0,0.0,1490.0,0.0
2021-01-31,0.0,0.0,0.0,80.0,0.0
2021-02-01,0.0,0.0,0.0,9691.0,1.0
2021-02-02,0.0,0.0,1.0,9185.0,0.0
2021-02-03,0.0,0.0,0.0,8932.0,0.0
2021-02-04,0.0,0.0,0.0,8064.0,0.0
2021-02-05,0.0,0.0,0.0,7522.0,0.0
2021-02-06,0.0,0.0,1584.0,458.0,0.0
2021-02-07,0.0,0.0,0.0,182.0,0.0
2021-02-08,0.0,0.0,418.0,7183.0,4.0
2021-02-09,0.0,0.0,281.0,6422.0,0.0
2021-02-10,0.0,0.0,581.0,5730.0,1.0
2021-02-11,0.0,0.0,626.0,6520.0,2.0
2021-02-12,0.0,0.0,1152.0,6184.0,0.0
2021-02-13,4620.0,0.0,1728.0,632.0,0.0
2021-02-14,8179.0,0.0,20.0,181.0,0.0
2021-02-15,412.0,0.0,2196.0,2139.0,0.0
2021-02-16,1295.0,0.0,1731.0,2143.0,0.0
2021-02-17,1298.0,0.0,1834.0,2348.0,1.0
2021-02-18,395.0,0.0,1955.0,2543.0,1.0
2021-02-19,0.0,0.0,2840.0,3754.0,0.0
2021-02-20,5418.0,0.0,520.0,329.0,0.0
2021-02-21,5513.0,0.0,601.0,181.0,1.0
2021-02-22,1630.0,0.0,1175.0,2935.0,0.0
2021-02-23,1403.0,0.0,1236.0,3522.0,0.0
2021-02-24,1454.0,0.0,614.0,3921.0,0.0
2021-02-25,1492.0,0.0,491.0,1309.0,0.0
2021-02-26,1695.0,0.0,684.0,1565.0,1.0
2021-02-27,7700.0,0.0,0.0,14.0,0.0
2021-02-28,5441.0,0.0,0.0,0.0,0.0
2021-03-01,3693.0,0.0,170.0,1383.0,0.0
2021-03-02,3847.0,0.0,150.0,1770.0,0.0
2021-03-03,2581.0,0.0,60.0,1623.0,1.0
2021-03-04,2938.0,0.0,50.0,1720.0,1.0
2021-03-05,3149.0,0.0,0.0,2235.0,0.0
2021-03-06,15936.0,2.0,106.0,58.0,0.0
2021-03-07,9618.0,0.0,1.0,2.0,0.0
2021-03-08,2935.0,0.0,21.0,1218.0,0.0
2021-03-09,3066.0,0.0,37.0,2084.0,3.0
2021-03-10,1799.0,0.0,30.0,1652.0,0.0
2021-03-11,2782.0,0.0,20.0,8638.0,0.0
2021-03-12,2712.0,0.0,40.0,8956.0,1.0
2021-03-13,16819.0,0.0,37.0,749.0,0.0
2021-03-14,12757.0,0.0,1.0,1280.0,0.0
2021-03-15,3100.0,0.0,124.0,10722.0,0.0
2021-03-16,3059.0,0.0,81.0,12450.0,0.0
2021-03-17,2716.0,0.0,92.0,11912.0,0.0
2021-03-18,3459.0,0.0,93.0,13073.0,0.0
2021-03-19,1892.0,0.0,85.0,11277.0,0.0
2021-03-20,18357.0,0.0,13.0,574.0,0.0
2021-03-21,13932.0,0.0,11.0,11.0,0.0
2021-03-22,3510.0,0.0,1749.0,12974.0,0.0
2021-03-23,3268.0,0.0,2206.0,12422.0,0.0
2021-03-24,3488.0,0.0,2205.0,12753.0,0.0
2021-03-25,2006.0,0.0,2144.0,12833.0,0.0
2021-03-26,2106.0,0.0,1731.0,13583.0,0.0
2021-03-27,14012.0,0.0,175.0,698.0,0.0
2021-03-28,8940.0,0.0,0.0,178.0,0.0
2021-03-29,1433.0,0.0,2772.0,14507.0,0.0
